t,kGeV,sigmaGeV,ZQ,ZPhi,etaQ,etaPhi,hPhi,m_piGeV,m_sigmaGeV,m_qGeV
0.000000e+00,6.500000e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.240370e-01,3.240370e-01,0.000000e+00
1.000000e-02,6.435324e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.135901e-01,3.135901e-01,0.000000e+00
2.000000e-02,6.371291e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.031567e-01,3.031567e-01,0.000000e+00
3.000000e-02,6.307896e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.927296e-01,2.927296e-01,0.000000e+00
4.000000e-02,6.245131e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.823006e-01,2.823006e-01,0.000000e+00
5.000000e-02,6.182991e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.718607e-01,2.718607e-01,0.000000e+00
6.000000e-02,6.121469e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.613992e-01,2.613992e-01,0.000000e+00
7.000000e-02,6.060560e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.509041e-01,2.509041e-01,0.000000e+00
8.000000e-02,6.000256e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.403613e-01,2.403613e-01,0.000000e+00
9.000000e-02,5.940553e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.297543e-01,2.297543e-01,0.000000e+00
1.000000e-01,5.881443e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.190635e-01,2.190635e-01,0.000000e+00
1.100000e-01,5.822922e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.082655e-01,2.082655e-01,0.000000e+00
1.200000e-01,5.764983e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.973315e-01,1.973315e-01,0.000000e+00
1.300000e-01,5.707620e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.862261e-01,1.862261e-01,0.000000e+00
1.400000e-01,5.650829e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.749046e-01,1.749046e-01,0.000000e+00
1.500000e-01,5.594602e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.633092e-01,1.633092e-01,0.000000e+00
1.600000e-01,5.538935e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.513635e-01,1.513635e-01,0.000000e+00
1.700000e-01,5.483821e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.389625e-01,1.389625e-01,0.000000e+00
1.800000e-01,5.429256e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.259559e-01,1.259559e-01,0.000000e+00
1.900000e-01,5.375234e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.121157e-01,1.121157e-01,0.000000e+00
2.000000e-01,5.321750e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,9.706574e-02,9.706574e-02,0.000000e+00
2.100000e-01,5.268798e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,8.010337e-02,8.010337e-02,0.000000e+00
2.200000e-01,5.216372e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,5.958600e-02,5.958600e-02,0.000000e+00
2.300000e-01,5.164468e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.863255e-02,2.863255e-02,0.000000e+00
2.400000e-01,5.113081e-01,1.245041e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,9.704173e-06,5.971242e-02,4.108634e-02
2.500000e-01,5.062205e-01,1.924699e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,5.472299e-06,9.243031e-02,6.351508e-02
2.600000e-01,5.011835e-01,2.398799e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,0.000000e+00,1.153325e-01,7.916036e-02
2.700000e-01,4.961967e-01,2.775708e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,4.259585e-06,1.335905e-01,9.159838e-02
2.800000e-01,4.912594e-01,3.091963e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,8.537578e-06,1.489428e-01,1.020348e-01
2.900000e-01,4.863713e-01,3.365379e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.436897e-06,1.622351e-01,1.110575e-01
3.000000e-01,4.815318e-01,3.606301e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,8.514948e-06,1.739575e-01,1.190079e-01
3.100000e-01,4.767405e-01,3.821404e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,8.053910e-06,1.844260e-01,1.261063e-01
3.200000e-01,4.719969e-01,4.015307e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,4.663385e-06,1.938593e-01,1.325051e-01
3.300000e-01,4.673004e-01,4.191376e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,8.960892e-06,2.024102e-01,1.383154e-01
3.400000e-01,4.626507e-01,4.352159e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,5.781235e-06,2.102027e-01,1.436213e-01
3.500000e-01,4.580473e-01,4.499649e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,0.000000e+00,2.173344e-01,1.484884e-01
3.600000e-01,4.534896e-01,4.635438e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,6.570297e-06,2.238723e-01,1.529695e-01
3.700000e-01,4.489773e-01,4.760822e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,0.000000e+00,2.298822e-01,1.571071e-01
3.800000e-01,4.445099e-01,4.876884e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,0.000000e+00,2.354179e-01,1.609372e-01
3.900000e-01,4.400870e-01,4.984528e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,7.712947e-06,2.405126e-01,1.644894e-01
4.000000e-01,4.357080e-01,5.084529e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,6.688417e-06,2.452166e-01,1.677895e-01
4.100000e-01,4.313727e-01,5.177552e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.750643e-06,2.495457e-01,1.708592e-01
4.200000e-01,4.270804e-01,5.264176e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,9.755523e-06,2.535431e-01,1.737178e-01
4.300000e-01,4.228309e-01,5.344905e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,9.232058e-06,2.572205e-01,1.763819e-01
4.400000e-01,4.186237e-01,5.420190e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,9.370037e-06,2.606068e-01,1.788663e-01
4.500000e-01,4.144583e-01,5.490425e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,0.000000e+00,2.637232e-01,1.811840e-01
4.600000e-01,4.103344e-01,5.555965e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,0.000000e+00,2.665739e-01,1.833468e-01
4.700000e-01,4.062515e-01,5.617130e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,0.000000e+00,2.691906e-01,1.853653e-01
4.800000e-01,4.022092e-01,5.674202e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,6.833902e-06,2.715805e-01,1.872487e-01
4.900000e-01,3.982072e-01,5.727447e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,0.000000e+00,2.737491e-01,1.890058e-01
5.000000e-01,3.942449e-01,5.777099e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,8.711217e-06,2.757208e-01,1.906443e-01
5.100000e-01,3.903221e-01,5.823372e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,0.000000e+00,2.775058e-01,1.921713e-01
5.200000e-01,3.864384e-01,5.866465e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,5.169276e-06,2.790992e-01,1.935933e-01
5.300000e-01,3.825932e-01,5.906560e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,5.467507e-06,2.805218e-01,1.949165e-01
5.400000e-01,3.787864e-01,5.943824e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,0.000000e+00,2.817843e-01,1.961462e-01
5.500000e-01,3.750174e-01,5.978410e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,8.053426e-06,2.828942e-01,1.972875e-01
5.600000e-01,3.712859e-01,6.010461e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,8.667588e-06,2.838535e-01,1.983452e-01
5.700000e-01,3.675915e-01,6.040112e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,0.000000e+00,2.846653e-01,1.993237e-01
5.800000e-01,3.639339e-01,6.067484e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,0.000000e+00,2.853449e-01,2.002270e-01
5.900000e-01,3.603127e-01,6.092693e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.894264e-06,2.858978e-01,2.010589e-01
6.000000e-01,3.567276e-01,6.115846e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,9.535277e-06,2.863297e-01,2.018229e-01
6.100000e-01,3.531781e-01,6.137043e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,0.000000e+00,2.866458e-01,2.025224e-01
6.200000e-01,3.496639e-01,6.156377e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,4.037403e-06,2.868508e-01,2.031604e-01
6.300000e-01,3.461847e-01,6.173936e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,0.000000e+00,2.869443e-01,2.037399e-01
6.400000e-01,3.427401e-01,6.189805e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,4.214864e-06,2.869329e-01,2.042636e-01
6.500000e-01,3.393298e-01,6.204060e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,7.947480e-06,2.868244e-01,2.047340e-01
6.600000e-01,3.359534e-01,6.216776e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,0.000000e+00,2.866230e-01,2.051536e-01
6.700000e-01,3.326106e-01,6.228021e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,4.172731e-06,2.863325e-01,2.055247e-01
6.800000e-01,3.293010e-01,6.237860e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,0.000000e+00,2.859565e-01,2.058494e-01
