t,kGeV,sigmaGeV,ZQ,ZPhi,etaQ,etaPhi,hPhi,m_piGeV,m_sigmaGeV,m_qGeV
0.000000e+00,6.500000e-01,1.661110e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.282671e-01,3.365678e-01,5.481662e-02
1.000000e-02,6.435324e-01,1.763510e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.185940e-01,3.283655e-01,5.819584e-02
2.000000e-02,6.371291e-01,1.873728e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.090817e-01,3.205881e-01,6.183303e-02
3.000000e-02,6.307896e-01,1.992192e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.997512e-01,3.133000e-01,6.574235e-02
4.000000e-02,6.245131e-01,2.119245e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.906270e-01,3.065722e-01,6.993508e-02
5.000000e-02,6.182991e-01,2.255096e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.817370e-01,3.004811e-01,7.441818e-02
6.000000e-02,6.121469e-01,2.399776e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.731122e-01,2.951055e-01,7.919261e-02
7.000000e-02,6.060560e-01,2.553080e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.647855e-01,2.905213e-01,8.425165e-02
8.000000e-02,6.000256e-01,2.714533e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.567905e-01,2.867959e-01,8.957959e-02
9.000000e-02,5.940553e-01,2.883359e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.491594e-01,2.839815e-01,9.515083e-02
1.000000e-01,5.881443e-01,3.058488e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.419208e-01,2.821083e-01,1.009301e-01
1.100000e-01,5.822922e-01,3.238593e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.350977e-01,2.811799e-01,1.068736e-01
1.200000e-01,5.764983e-01,3.422157e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.287055e-01,2.811705e-01,1.129312e-01
1.300000e-01,5.707620e-01,3.607567e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.227508e-01,2.820260e-01,1.190497e-01
1.400000e-01,5.650829e-01,3.793211e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.172316e-01,2.836700e-01,1.251760e-01
1.500000e-01,5.594602e-01,3.977571e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.121376e-01,2.860081e-01,1.312598e-01
1.600000e-01,5.538935e-01,4.159292e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.074516e-01,2.889356e-01,1.372566e-01
1.700000e-01,5.483821e-01,4.337230e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.031516e-01,2.923483e-01,1.431286e-01
1.800000e-01,5.429256e-01,4.510464e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.992122e-01,2.961442e-01,1.488453e-01
1.900000e-01,5.375234e-01,4.678298e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.956062e-01,3.002284e-01,1.543838e-01
2.000000e-01,5.321750e-01,4.840234e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.923062e-01,3.045154e-01,1.597277e-01
2.100000e-01,5.268798e-01,4.995954e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.892855e-01,3.089343e-01,1.648665e-01
2.200000e-01,5.216372e-01,5.145286e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.865184e-01,3.134237e-01,1.697944e-01
2.300000e-01,5.164468e-01,5.288173e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.839813e-01,3.179327e-01,1.745097e-01
2.400000e-01,5.113081e-01,5.424651e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.816522e-01,3.224154e-01,1.790135e-01
2.500000e-01,5.062205e-01,5.554820e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.795112e-01,3.268428e-01,1.833091e-01
2.600000e-01,5.011835e-01,5.678835e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.775403e-01,3.311891e-01,1.874015e-01
2.700000e-01,4.961967e-01,5.796881e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.757233e-01,3.354301e-01,1.912971e-01
2.800000e-01,4.912594e-01,5.909167e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.740457e-01,3.395514e-01,1.950025e-01
2.900000e-01,4.863713e-01,6.015917e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.724946e-01,3.435452e-01,1.985252e-01
3.000000e-01,4.815318e-01,6.117359e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.710584e-01,3.473969e-01,2.018729e-01
3.100000e-01,4.767405e-01,6.213726e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.697268e-01,3.511054e-01,2.050529e-01
3.200000e-01,4.719969e-01,6.305246e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.684905e-01,3.546677e-01,2.080731e-01
3.300000e-01,4.673004e-01,6.392144e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.673413e-01,3.580766e-01,2.109408e-01
3.400000e-01,4.626507e-01,6.474639e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,1.662719e-01,3.613408e-01,2.136631e-01
