t,kGeV,sigmaGeV,ZQ,ZPhi,etaQ,etaPhi,hPhi,m_piGeV,m_sigmaGeV,m_qGeV
0.000000e+00,6.500000e-01,1.661110e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.282671e-01,3.365678e-01,5.481662e-02
1.000000e-02,6.435324e-01,1.724583e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.221695e-01,3.312874e-01,5.691123e-02
2.000000e-02,6.371291e-01,1.789637e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.162599e-01,3.262593e-01,5.905801e-02
3.000000e-02,6.307896e-01,1.856169e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.105402e-01,3.214874e-01,6.125356e-02
4.000000e-02,6.245131e-01,1.924059e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.050123e-01,3.169745e-01,6.349395e-02
5.000000e-02,6.182991e-01,1.993172e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.996775e-01,3.127224e-01,6.577467e-02
6.000000e-02,6.121469e-01,2.063353e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.945369e-01,3.087317e-01,6.809064e-02
7.000000e-02,6.060560e-01,2.134433e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.895911e-01,3.050021e-01,7.043630e-02
8.000000e-02,6.000256e-01,2.206230e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.848401e-01,3.015316e-01,7.280559e-02
9.000000e-02,5.940553e-01,2.278548e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.802834e-01,2.983167e-01,7.519208e-02
1.000000e-01,5.881443e-01,2.351182e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.759201e-01,2.953529e-01,7.758902e-02
1.100000e-01,5.822922e-01,2.423922e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.717485e-01,2.926338e-01,7.998944e-02
1.200000e-01,5.764983e-01,2.496553e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.677664e-01,2.901517e-01,8.238625e-02
1.300000e-01,5.707620e-01,2.568859e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.639711e-01,2.878975e-01,8.477235e-02
1.400000e-01,5.650829e-01,2.640628e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.603592e-01,2.858614e-01,8.714071e-02
1.500000e-01,5.594602e-01,2.711652e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.569269e-01,2.840321e-01,8.948451e-02
1.600000e-01,5.538935e-01,2.781733e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.536698e-01,2.823978e-01,9.179720e-02
1.700000e-01,5.483821e-01,2.850685e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.505832e-01,2.809455e-01,9.407259e-02
1.800000e-01,5.429256e-01,2.918332e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.476619e-01,2.796620e-01,9.630495e-02
1.900000e-01,5.375234e-01,2.984516e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.449005e-01,2.785345e-01,9.848902e-02
2.000000e-01,5.321750e-01,3.049093e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.422932e-01,2.775494e-01,1.006201e-01
2.100000e-01,5.268798e-01,3.111937e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.398342e-01,2.766938e-01,1.026939e-01
2.200000e-01,5.216372e-01,3.172939e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.375175e-01,2.759545e-01,1.047070e-01
2.300000e-01,5.164468e-01,3.232007e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.353371e-01,2.753187e-01,1.066562e-01
2.400000e-01,5.113081e-01,3.289065e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.332869e-01,2.747749e-01,1.085391e-01
2.500000e-01,5.062205e-01,3.344054e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.313609e-01,2.743121e-01,1.103538e-01
